Rk,Player,Age,Team,Lg,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
65,Chas McCormick,28,HOU,AL,457,17,0,1,3,-2,19,1.9,16,34,3.4,.516,.512,3.1,0.2,31,*789/DH,,mccorch01
66,Cal Raleigh#,26,SEA,AL,569,10,-1,0,-3,8,15,1.5,19,34,3.4,.510,.509,3.7,0.5,37,*2HD,MVP-18,raleica01
67,Brandon Marsh*,25,PHI,NL,472,16,1,0,0,2,19,1.9,16,35,3.4,.514,.511,3.4,0.1,35,*87H/9D,,marshbr02
68,Willson Contreras,31,STL,NL,495,18,-4,0,-1,5,17,1.7,17,34,3.3,.514,.511,3.5,0.3,35,2D/H,,contrwi01
69,Lane Thomas,27,WSN,NL,682,13,3,1,0,-5,12,1.2,23,35,3.3,.508,.507,3.3,-0.5,35,*98/H1D,,thomala02
70,Paul Goldschmidt,35,STL,NL,687,16,2,-1,3,-8,12,1.2,22,34,3.3,.508,.508,3.0,-0.6,31,*3D,,goldspa01
71,Pete Alonso,28,NYM,NL,658,17,-2,-1,6,-8,12,1.2,22,34,3.3,.508,.507,2.7,-0.2,28,*3/D,ASMVP-17,alonspe01
72,Jeimer Candelario#,29,2TM,NL,576,16,0,-1,-2,1,14,1.4,20,34,3.3,.510,.507,3.5,-0.1,36,*53/DH,,candeje01
73,Lars Nootbaar*,25,STL,NL,503,10,3,0,3,0,17,1.7,17,34,3.3,.514,.510,3.0,0.3,31,*897/HD,,nootbla01
74,Anthony Volpe,22,NYY,AL,601,-14,1,1,15,9,12,1.3,21,33,3.3,.508,.508,1.7,2.5,18,*6/H,ROY-8GG,volpean01
75,Ryan Jeffers,26,MIN,AL,335,13,0,0,3,5,21,2.1,11,32,3.2,.522,.513,2.9,0.9,29,2H/D,,jeffery01
76,Steven Kwan*,25,CLE,AL,718,-3,1,1,15,-5,9,1.0,23,32,3.2,.506,.506,1.6,1.1,17,*7/DH,GG,kwanst01
77,Yainer Diaz,24,HOU,AL,377,14,-1,-1,6,1,19,1.9,13,32,3.2,.518,.512,2.6,0.7,26,2DH/3,ROY-5,diazya02
78,Seiya Suzuki,28,CHC,NL,583,20,-3,0,1,-5,13,1.3,20,33,3.2,.509,.508,3.1,-0.4,32,*9/DH,,suzukse01
79,Jonah Heim#,28,TEX,AL,501,4,1,0,2,8,14,1.5,17,31,3.1,.511,.509,2.9,1.0,29,*2/DH,ASGG,heimjo01
80,Anthony Santander#,28,BAL,AL,656,15,0,-1,2,-8,9,0.9,22,31,3.0,.506,.505,2.8,-0.6,29,9D3/H7,,santaan02
81,Leody Taveras#,24,TEX,AL,554,0,1,1,4,4,11,1.1,19,29,2.9,.508,.507,2.5,0.8,25,*8/HD,,taverle01
82,Ryan McMahon*,28,COL,NL,627,-6,-3,-1,16,4,9,0.9,21,31,2.9,.506,.506,1.4,2.0,15,*54/HD,,mcmahry01
83,Gleyber Torres,26,NYY,AL,672,13,-4,-2,-4,4,7,0.7,23,30,2.9,.504,.504,3.3,0.0,33,*4D/H,,torregl01
84,Mike Trout,31,LAA,AL,362,12,0,1,1,2,17,1.8,12,29,2.9,.521,.511,2.8,0.4,28,8/DH,AS,troutmi01
85,Willy Adames,27,MIL,NL,638,-6,-3,0,8,9,9,0.9,21,30,2.9,.506,.506,2.1,1.7,22,*6/D,,adamewi01
86,Lourdes Gurriel Jr.,29,ARI,NL,592,3,2,-2,14,-7,10,1.0,20,30,2.9,.507,.506,1.5,0.6,16,7D/H3,AS,gurrilo01
87,Max Muncy*,32,LAD,NL,579,10,-1,1,-2,3,11,1.1,19,30,2.9,.508,.507,3.1,0.1,32,*5D/H,,muncyma01
88,Nathaniel Lowe*,27,TEX,AL,724,15,-3,-2,3,-7,6,0.7,23,29,2.9,.504,.504,2.6,-0.4,26,*3,GG,lowena01
89,Spencer Steer,25,CIN,NL,665,14,0,1,-4,-4,8,0.8,23,30,2.9,.505,.505,3.3,-0.9,34,3574/D9H,ROY-6,steersp01
90,LaMonte Wade Jr.*,29,SFG,NL,519,16,0,1,1,-7,12,1.2,18,29,2.8,.509,.507,2.8,-0.6,28,*3H7/9D8,,wadela01
91,Jose Altuve,33,HOU,AL,410,24,2,0,-13,3,16,1.6,13,29,2.8,.517,.509,4.1,-1.0,41,4/DH,,altuvjo01
92,Cedric Mullins*,28,BAL,AL,455,-2,4,0,7,3,12,1.3,16,28,2.8,.511,.508,2.0,1.0,21,*8/HD,,mullice01
93,Max Kepler*,30,MIN,AL,491,13,0,0,2,-4,11,1.2,17,28,2.8,.509,.507,2.6,-0.2,26,*9H/D,,keplema01
94,Alex Verdugo*,27,BOS,AL,602,-1,0,2,10,-4,7,0.8,20,27,2.7,.505,.504,1.7,0.6,17,*9/H,,verdual01
95,Mike Tauchman*,32,CHC,NL,401,6,3,1,4,1,14,1.4,14,28,2.7,.513,.509,2.3,0.5,24,8HD9/7,,tauchmi01
96,Luke Raley*,28,TBR,AL,406,12,3,2,1,-5,14,1.4,14,27,2.7,.512,.508,2.6,-0.4,26,937DH8/1,,raleylu01
97,Mauricio Dubón,28,HOU,AL,492,2,1,-1,5,4,10,1.1,17,27,2.7,.508,.506,2.2,0.9,22,48H/67395,GG,dubonma01
98,Wilmer Flores,31,SFG,NL,454,20,-3,-2,3,-6,12,1.2,16,28,2.7,.510,.508,2.4,-0.3,25,3DH5/4,,florewi01
99,Manny Machado,30,SDP,NL,601,8,-2,-2,4,0,8,0.8,20,28,2.7,.506,.505,2.3,0.4,24,5D,,machama01
100,Carlos Santana#,37,2TM,NL,619,1,0,1,12,-8,7,0.7,21,28,2.7,.505,.502,1.5,0.4,16,*3D/H,,santaca01
101,Willi Castro#,26,MIN,AL,409,2,4,1,5,0,13,1.3,14,27,2.6,.510,.508,2.1,0.6,22,785H4/691D,,castrwi01
102,Josh Jung,25,TEX,AL,515,7,-2,0,0,3,9,0.9,18,26,2.6,.507,.505,2.6,0.4,26,*5/H,ASROY-4,jungjo01
103,Edouard Julien*,24,MIN,AL,408,15,1,0,-3,0,12,1.3,14,26,2.6,.511,.507,2.9,-0.3,29,4DH/3,ROY-7,julieed01
104,Zack Gelof,23,OAK,AL,300,11,2,0,0,2,15,1.6,10,25,2.5,.522,.509,2.5,0.3,25,4,,gelofza01
105,Austin Hays,27,BAL,AL,566,8,-1,-1,5,-5,6,0.6,19,25,2.5,.504,.504,2.0,0.0,20,*7/89HD,AS,haysau01
106,Ezequiel Tovar,21,COL,NL,615,-18,1,0,12,9,5,0.5,21,26,2.5,.503,.503,1.3,2.1,14,*6,,tovarez01
107,José Caballero,26,SEA,AL,280,0,1,1,10,3,15,1.6,10,25,2.5,.515,.509,1.4,1.3,14,4H6/5D7,,cabaljo01
108,Thairo Estrada,27,SFG,NL,530,2,3,2,-2,5,8,0.8,17,26,2.5,.507,.505,2.7,0.2,28,46/7D,,estrath01
109,Jake Burger,27,2TM,2LG,540,13,-2,2,-6,0,7,0.7,18,25,2.5,.505,.502,3.1,-0.6,31,5D/H34,,burgeja01
110,Jeff McNeil*,31,NYM,NL,648,-2,1,3,0,1,4,0.4,22,26,2.4,.502,.502,2.5,0.1,26,497/H836,,mcneije01
111,Royce Lewis,24,MIN,AL,239,14,0,0,2,1,16,1.6,8,24,2.4,.528,.510,2.2,0.3,22,5/DH6,,lewisro02
112,Mike Yastrzemski*,32,SFG,NL,381,5,-1,0,9,-1,12,1.2,13,25,2.4,.511,.507,1.5,0.8,16,987H/D,,yastrmi01
113,Eugenio Suárez,31,SEA,AL,694,4,-3,-1,-3,4,1,0.2,23,24,2.4,.501,.501,2.7,0.2,27,*5/D,,suareeu01
114,Johan Rojas,22,PHI,NL,164,1,1,1,14,1,18,1.8,6,24,2.4,.531,.511,1.0,1.5,10,8H/D,,rojasjo03
115,Bryan Reynolds#,28,PIT,NL,640,7,1,1,0,-5,4,0.4,21,25,2.4,.503,.503,2.4,-0.5,25,*7D8/H,,reynobr01
116,Nolan Gorman*,23,STL,NL,464,8,2,1,-2,1,9,0.9,16,25,2.4,.508,.506,2.6,-0.2,27,4D5H,,gormano01
117,Teoscar Hernández,30,SEA,AL,678,5,0,1,1,-7,0,0.1,23,24,2.3,.500,.500,2.2,-0.6,22,*9D/H,,hernate01
118,Mitch Garver,32,TEX,AL,344,18,0,-1,-2,-3,11,1.2,12,23,2.3,.513,.507,2.5,-0.5,25,D2/H3,,garvemi01
119,Josh Naylor*,26,CLE,AL,495,15,-2,0,0,-7,6,0.6,17,23,2.3,.505,.504,2.2,-0.7,23,3D/H9,MVP-22,naylojo01
120,Triston Casas*,23,BOS,AL,502,18,-2,0,-4,-6,5,0.6,17,23,2.2,.504,.503,2.6,-1.0,26,*3H/D,ROY-3,casastr01
121,Jarren Duran*,26,BOS,AL,362,8,4,1,-5,1,10,1.0,12,22,2.2,.510,.506,2.7,-0.4,27,87H/9D,,duranja01
122,Mickey Moniak*,25,LAA,AL,323,4,-1,0,6,1,11,1.1,11,22,2.2,.513,.507,1.6,0.7,16,897/H,,moniami01
123,Nolan Arenado,32,STL,NL,612,6,-3,-2,0,2,2,0.2,21,23,2.2,.502,.501,2.2,0.2,23,*5D/H,AS,arenano01
124,Mark Canha,34,2TM,NL,507,6,2,1,3,-7,6,0.6,17,23,2.2,.504,.502,1.9,-0.5,20,7D93H/5,,canhama01
125,Connor Wong,27,BOS,AL,403,-10,-1,1,11,8,8,0.9,14,22,2.2,.507,.505,1.0,1.9,11,*2H/4D,,wongco01
126,Ryan Noda*,27,OAK,AL,495,12,-1,0,1,-7,5,0.6,17,22,2.2,.504,.503,2.1,-0.6,21,*3H/9D7,,nodary01
127,Jon Berti,33,MIA,NL,424,-1,0,0,5,4,8,0.8,14,23,2.2,.506,.505,1.7,0.9,17,65H74/9D,,bertijo01
128,Matt Wallner*,25,MIN,AL,254,14,1,1,1,-3,13,1.3,9,22,2.2,.517,.508,2.0,-0.2,20,79/DH,,wallnma01
129,Gary Sánchez,30,2TM,NL,267,4,-1,0,7,4,13,1.3,9,22,2.1,.517,.509,1.5,1.1,15,2/DH,,sanchga02
130,Jarred Kelenic*,23,SEA,AL,416,6,1,0,3,-3,7,0.8,14,21,2.1,.507,.504,1.8,0.0,18,79/8HD,,kelenja01
131,Jack Suwinski*,24,PIT,NL,534,8,2,1,-9,1,4,0.4,18,22,2.1,.503,.502,3.0,-0.8,31,*897H/D,,suwinja01
132,Justin Turner,38,BOS,AL,626,12,-1,0,0,-10,0,0.1,21,21,2.1,.500,.500,2.1,-1.0,21,D34/5H,,turneju01
133,Ryan Mountcastle,26,BAL,AL,470,9,2,-1,2,-6,5,0.5,16,21,2.1,.504,.503,1.9,-0.4,19,3D/H,,mountry01
134,Tommy Edman#,28,STL,NL,528,-6,0,1,3,5,4,0.4,18,22,2.1,.503,.502,1.8,0.8,19,468/9H,,edmanto01
135,Brandon Lowe*,28,TBR,AL,436,7,0,1,-5,3,6,0.6,15,21,2.1,.505,.504,2.5,-0.2,26,4/HD,,lowebr01
136,Kerry Carpenter*,25,DET,AL,459,11,0,0,-1,-5,5,0.6,16,21,2.1,.504,.503,2.1,-0.6,22,9D7/H,,carpeke01
137,Geraldo Perdomo#,23,ARI,NL,495,-2,2,1,-4,8,5,0.5,17,22,2.0,.503,.503,2.5,0.4,26,*645H,AS,perdoge01
138,Jared Triolo,25,PIT,NL,209,6,1,0,5,1,14,1.4,7,21,2.0,.525,.508,1.5,0.6,16,54/3HD,,triolja01
139,Harold Ramírez,28,TBR,AL,434,14,0,2,-2,-9,6,0.6,15,21,2.0,.505,.504,2.2,-1.1,23,DH/793,,ramirha02
140,J.D. Martinez,35,LAD,NL,479,19,-2,-2,0,-10,5,0.5,16,21,2.0,.504,.503,2.1,-1.0,21,*D/7H,AS,martijd02
141,George Springer,33,TOR,AL,683,3,2,-2,2,-6,-2,-0.1,22,21,2.0,.499,.499,1.8,-0.4,19,*9D/H8,,springe01
142,Kyle Isbel*,26,KCR,AL,313,-10,3,1,13,2,9,1.0,11,20,2.0,.511,.506,0.7,1.6,7,8/HD,,isbelky01
143,Brent Rooker,28,OAK,AL,526,17,-1,-1,-4,-9,2,0.3,18,20,2.0,.502,.501,2.4,-1.3,24,D97H,AS,rookebr01
144,Yan Gomes,35,CHC,NL,419,-3,-1,0,5,6,7,0.6,14,21,2.0,.506,.504,1.5,1.1,16,2DH,,gomesya01
145,Taylor Walls#,26,TBR,AL,349,-8,2,1,10,4,8,0.8,12,20,2.0,.508,.505,0.9,1.5,10,546/H,,wallsta01
146,Brandon Drury,30,LAA,AL,523,8,-2,-1,-2,0,2,0.3,18,20,2.0,.502,.501,2.2,-0.2,22,43/DH,,drurybr01
147,Brandon Belt*,35,TOR,AL,404,18,-2,-1,-2,-7,6,0.7,14,20,2.0,.506,.504,2.2,-0.9,22,D3/H,,beltbr01
148,Luis Rengifo#,26,LAA,AL,445,7,1,1,-8,4,4,0.5,15,20,1.9,.504,.503,2.7,-0.4,28,4659H/78,,rengilu01
149,Jason Heyward*,33,LAD,NL,377,10,-1,0,2,-4,7,0.7,13,20,1.9,.506,.504,1.7,-0.2,18,*98H/73D,,heywaja01
150,Jorge Polanco#,29,MIN,AL,343,5,0,1,1,1,8,0.8,12,19,1.9,.510,.505,1.8,0.2,18,45D/H,,polanjo01
151,Alejandro Kirk,24,TOR,AL,422,-4,-5,-3,11,6,5,0.5,14,19,1.9,.504,.503,0.8,1.7,8,2HD,,kirkal01
152,Stone Garrett,27,WSN,NL,271,8,1,-1,5,-3,10,1.0,9,20,1.9,.512,.506,1.4,0.2,15,7H9/D,,garrest01
153,Riley Greene*,22,DET,AL,416,10,0,1,-7,1,5,0.5,14,19,1.9,.505,.503,2.6,-0.6,26,8/D79H,,greenri03
154,Michael A. Taylor,32,MIN,AL,388,-4,1,0,5,3,6,0.6,13,19,1.9,.504,.503,1.3,0.9,14,*8H/D,,taylomi02
155,Andy Ibáñez,30,DET,AL,383,0,-2,0,6,1,6,0.6,13,19,1.9,.505,.504,1.2,0.8,13,4H57/93D,,ibanean01
156,Brendan Donovan*,26,STL,NL,371,10,2,0,-3,-2,7,0.7,13,19,1.9,.507,.504,2.2,-0.5,22,47D3H/956,,donovbr01
157,Davis Schneider,24,TOR,AL,141,13,1,0,0,0,14,1.4,5,19,1.8,.539,.508,1.8,0.0,18,4/D57H,,schneda03
158,Nicky Lopez*,28,2TM,2LG,262,-7,0,1,13,2,9,1.0,9,18,1.8,.510,.503,0.5,1.6,5,456H/317D,,lopezni01
159,Trent Grisham*,26,SDP,NL,555,-7,2,1,1,4,0,0.0,19,19,1.8,.500,.500,1.7,0.5,18,*8/H,,grishtr01
160,Vladimir Guerrero Jr.,24,TOR,AL,682,16,-3,-1,-7,-9,-4,-0.4,23,18,1.8,.497,.497,2.5,-1.6,25,*3D/H,AS,guerrvl02
161,Ramón Urías,29,BAL,AL,396,0,0,-1,4,2,4,0.5,14,18,1.8,.504,.503,1.3,0.6,14,543H/D,,uriasra01
162,Taylor Ward,29,LAA,AL,409,4,1,0,1,-3,3,0.4,14,17,1.7,.503,.502,1.6,-0.2,16,7/H3,,wardta01
163,Orlando Arcia,28,ATL,NL,533,-1,1,-1,-6,8,0,0.0,18,18,1.7,.500,.500,2.4,0.2,24,*6/H,AS,arciaor01
164,Adam Frazier*,31,BAL,AL,455,-3,1,1,-1,3,2,0.2,16,17,1.7,.501,.501,1.8,0.3,18,*4H/97D,,fraziad01
165,Ramón Laureano,28,2TM,AL,404,-5,1,0,10,-3,3,0.3,14,17,1.7,.503,.501,0.6,0.8,7,98/HD,,laurera01
166,Kyle Farmer,32,MIN,AL,369,1,0,1,-2,4,4,0.5,13,17,1.7,.504,.503,1.9,0.2,19,456H/37D,,farmeky01
167,Jose Siri,27,TBR,AL,364,0,1,0,0,3,4,0.5,12,17,1.6,.504,.503,1.6,0.3,17,8/HD,,sirijo01
168,Freddy Fermin,28,KCR,AL,235,2,0,-2,4,4,8,0.9,8,16,1.6,.512,.505,1.2,0.8,12,2/HD,,fermifr01
169,Donovan Solano,35,MIN,AL,450,7,-1,-1,1,-4,1,0.1,15,16,1.6,.501,.501,1.5,-0.3,15,3H45D,,solando01
170,Danny Jansen,28,TOR,AL,301,4,-1,0,-3,5,6,0.6,10,16,1.6,.507,.504,1.9,0.2,19,2H/D,,janseda01
171,Evan Carter*,20,TEX,AL,75,7,1,0,6,-1,13,1.4,3,16,1.6,.558,.508,1.0,0.6,10,7/89H,,carteev01
172,Travis Jankowski*,32,TEX,AL,287,0,3,1,6,-3,6,0.6,10,16,1.6,.506,.504,1.0,0.3,10,7H98/D,,jankotr01
173,Adam Duvall,34,BOS,AL,353,6,1,1,-4,0,4,0.4,12,16,1.6,.504,.502,2.0,-0.4,20,89/H7D,,duvalad01
174,Zach Neto,22,LAA,AL,329,-3,0,1,2,5,4,0.5,11,16,1.6,.505,.503,1.3,0.7,14,6/H,,netoza01
175,Will Benson*,25,CIN,NL,329,12,-1,1,-3,-4,5,0.5,11,16,1.6,.505,.503,1.9,-0.7,19,97H/D8,,bensowi01
