Rk,Player,Age,Team,Lg,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
18,Masyn Winn,22,STL,NL,637,1,2,3,14,9,29,3.0,22,51,5.1,.520,.519,3.6,2.4,37,*6/HD,,winnma01
19,William Contreras,26,MIL,NL,679,23,-2,-2,3,6,28,2.9,22,50,5.0,.518,.518,4.7,0.9,47,*2D/H,ASMVP-5SS,contrwi02
20,Brice Turang*,24,MIL,NL,619,-10,7,2,22,5,26,2.8,21,47,4.8,.518,.517,2.5,2.8,25,*4H/D,GG,turanbr02
21,Daulton Varsho*,27,TOR,AL,513,-5,4,2,28,0,29,3.1,18,47,4.8,.523,.519,1.8,3.0,19,*87/H9D,GG,varshda01
22,Mookie Betts,31,LAD,NL,516,25,1,-1,2,3,30,3.1,17,47,4.6,.526,.519,4.4,0.6,45,694/H,ASMVP-13SS,bettsmo01
23,Bryce Harper*,31,PHI,NL,631,32,-3,-2,5,-7,25,2.6,21,46,4.6,.518,.516,4.1,-0.2,41,*3/D,ASMVP-6SS,harpebr03
24,Cal Raleigh#,27,SEA,AL,628,11,-2,0,6,8,24,2.6,21,46,4.6,.517,.516,4.0,1.5,40,*2D/H,MVP-12GG,raleica01
25,Kyle Tucker*,27,HOU,AL,339,29,1,0,7,-3,34,3.5,11,45,4.6,.545,.522,3.9,0.4,38,9/DH,AS,tuckeky01
26,Freddie Freeman*,34,LAD,NL,638,29,2,-1,1,-7,24,2.5,21,46,4.5,.517,.516,4.4,-0.6,45,*3,ASMVP-17,freemfr01
27,Jackson Merrill*,21,SDP,NL,593,18,-1,3,0,5,25,2.5,20,45,4.5,.516,.516,4.5,0.5,45,*8/H,ASMVP-9ROY-2SS,merrija01
28,Marcus Semien,33,TEX,AL,718,3,1,1,10,6,21,2.3,23,44,4.5,.514,.514,3.4,1.7,34,*4,AS,semiema01
29,Marcell Ozuna,33,ATL,NL,688,43,-2,-4,0,-16,20,2.1,23,44,4.3,.513,.513,4.4,-1.7,44,*D,ASMVP-4,ozunama01
30,Wyatt Langford,22,TEX,AL,557,9,3,1,14,-5,22,2.4,19,41,4.2,.517,.514,2.7,0.9,27,*7D8,ROY-7,langfwy01
31,Julio Rodríguez,23,SEA,AL,613,14,1,0,3,3,21,2.2,21,42,4.2,.515,.514,3.9,0.7,39,*8D/H,,rodriju01
32,Teoscar Hernández,31,LAD,NL,652,29,-1,1,-3,-6,20,2.0,22,42,4.1,.513,.513,4.5,-1.0,45,*79,ASMVP-19SS,hernate01
33,Alex Bregman,30,HOU,AL,634,11,-2,0,6,4,18,2.0,21,39,4.0,.513,.512,3.4,1.0,33,*5/D,GG,bregmal01
34,Andrés Giménez*,25,CLE,AL,633,-13,3,3,20,5,18,1.9,22,39,4.0,.512,.512,1.9,2.7,19,*4,GG,gimenan01
35,Steven Kwan*,26,CLE,AL,540,17,-2,1,10,-4,21,2.3,18,39,4.0,.518,.514,2.9,0.6,29,*7/DH,ASGG,kwanst01
36,Dansby Swanson,30,CHC,NL,593,-2,4,2,7,9,20,2.1,20,40,4.0,.514,.513,3.2,1.6,33,*6/H,,swansda01
37,Jackson Chourio,20,MIL,NL,573,10,0,2,12,-5,19,2.0,20,39,3.9,.514,.512,2.6,0.7,27,*79/HD,MVP-22ROY-3,chourja01
38,Rafael Devers*,27,BOS,AL,601,25,0,0,-9,3,19,2.0,20,39,3.9,.514,.512,4.9,-0.6,48,*5/D,ASMVP-13,deverra01
39,Brenton Doyle,26,COL,NL,603,0,4,-1,11,4,18,1.9,21,39,3.9,.513,.512,2.7,1.6,28,*8/DH,GG,doylebr02
40,Ian Happ#,29,CHC,NL,657,15,-1,0,8,-5,18,1.8,22,40,3.9,.512,.511,3.1,0.3,32,*7/DH,GG,happia01
41,Matt Olson*,30,ATL,NL,685,13,-2,-1,13,-8,16,1.7,23,39,3.9,.510,.510,2.5,0.5,26,*3,,olsonma02
42,Jeremy Peña,26,HOU,AL,650,-2,3,2,4,9,17,1.8,22,39,3.9,.511,.511,3.5,1.4,35,*6,,penaje02
43,Carlos Correa,29,MIN,AL,367,23,-1,0,-3,5,24,2.5,12,36,3.7,.528,.515,4.0,0.2,39,6/DH,AS,correca01
44,Nico Hoerner,27,CHC,NL,641,4,3,1,3,6,16,1.7,22,38,3.7,.511,.510,3.4,0.9,35,*46/H,,hoernni01
45,Wilyer Abreu*,25,BOS,AL,447,8,0,-1,16,-4,20,2.1,15,35,3.6,.516,.513,1.9,1.3,19,*9H/78D,ROY-6GG,abreuwi02
46,Byron Buxton,30,MIN,AL,388,16,1,1,2,2,22,2.3,13,35,3.6,.522,.514,3.4,0.5,33,8/HD,,buxtoby01
47,Jurickson Profar#,31,SDP,NL,668,28,-1,0,-8,-5,14,1.4,23,37,3.6,.509,.509,4.4,-1.4,44,*7/D3,ASMVP-14SS,profaju01
48,Bryan Reynolds#,29,PIT,NL,692,20,4,2,-5,-6,15,1.5,23,37,3.6,.510,.509,4.2,-1.2,42,*7D9,AS,reynobr01
49,Ezequiel Tovar,22,COL,NL,695,-3,-1,-2,10,10,14,1.4,23,36,3.6,.509,.509,2.6,2.0,26,*6,MVP-19GG,tovarez01
50,Geraldo Perdomo#,24,ARI,NL,388,1,3,1,10,6,21,2.2,13,34,3.5,.522,.513,2.4,1.7,24,6/H,,perdoge01
51,Josh Smith*,26,TEX,AL,592,11,0,1,-1,4,15,1.6,20,35,3.5,.510,.509,3.6,0.3,36,56DH/749,SS,smithjo11
52,Seiya Suzuki,29,CHC,NL,585,24,-2,0,2,-7,17,1.7,19,36,3.5,.513,.511,3.3,-0.6,34,9D/7H,,suzukse01
53,Anthony Volpe,23,NYY,AL,689,-12,5,2,6,10,11,1.3,23,35,3.5,.508,.508,2.9,1.7,28,*6/H,,volpean01
54,Isiah Kiner-Falefa,29,2TM,2LG,496,-4,2,0,15,6,18,2.0,17,35,3.5,.515,.508,2.0,2.2,20,456/H18,,kineris01
54,Isiah Kiner-Falefa,29,TOR,AL,281,5,1,-1,12,3,21,2.2,10,30,3.1,.526,.513,1.8,1.6,18,456/H18,,kineris01
54,Isiah Kiner-Falefa,29,PIT,NL,215,-10,1,1,3,3,-2,-0.2,7,5,0.5,.495,.499,0.1,0.6,2,64/5H,,kineris01
55,Miguel Rojas,35,LAD,NL,337,4,2,0,11,5,22,2.3,12,33,3.4,.522,.514,2.2,1.7,22,64H5/13,,rojasmi02
56,Will Smith,29,LAD,NL,544,6,0,0,1,9,16,1.7,18,35,3.4,.513,.510,3.3,1.0,34,*2/HD,AS,smithwi05
57,CJ Abrams*,23,WSN,NL,602,4,-1,1,1,8,14,1.5,20,34,3.3,.510,.509,3.2,0.9,33,*6/H,AS,abramcj01
58,Corbin Carroll*,23,ARI,NL,684,4,7,3,-3,0,11,1.2,23,34,3.3,.507,.507,3.6,-0.3,37,*89/H,,carroco02
59,Ernie Clement,28,TOR,AL,452,0,-2,0,15,5,17,1.8,15,32,3.3,.513,.511,1.7,2.1,17,56H/4D17,,clemeer01
60,Kyle Schwarber*,31,PHI,NL,692,27,-3,0,0,-12,12,1.3,22,34,3.3,.508,.508,3.3,-1.3,34,*D/7H,MVP-15,schwaky01
61,Willy Adames,28,MIL,NL,688,14,3,-1,-16,10,10,1.0,23,33,3.2,.506,.506,4.9,-0.7,49,*6,MVP-10,adamewi01
62,Jose Altuve,34,HOU,AL,682,18,2,-1,-13,5,10,1.1,22,32,3.2,.507,.507,4.6,-0.9,45,*4/DH,ASMVP-15SS,altuvjo01
63,Michael Harris II*,23,ATL,NL,470,1,-1,2,11,3,16,1.7,16,32,3.2,.515,.510,2.1,1.5,21,*8,,harrimi04
64,Luke Raley*,29,SEA,AL,455,15,0,1,4,-6,16,1.7,16,31,3.2,.512,.510,2.7,-0.2,27,739H/8D,,raleylu01
65,Yainer Diaz,25,HOU,AL,619,13,-4,-1,-2,4,10,1.1,21,31,3.1,.507,.506,3.3,0.2,33,2D3/H,,diazya02
66,Freddy Fermin,29,KCR,AL,368,-2,0,-1,16,5,18,1.9,13,30,3.1,.517,.512,1.4,2.2,14,2D/H,,fermifr01
67,Manny Machado,31,SDP,NL,643,13,0,-4,2,-2,10,1.0,22,32,3.1,.507,.506,2.9,0.0,30,5D/H,MVP-16SS,machama01
68,Adley Rutschman#,26,BAL,AL,638,3,-1,0,4,4,10,1.1,21,31,3.1,.507,.506,2.7,0.8,27,2D/H,AS,rutscad01
69,Mark Vientos,24,NYM,NL,454,19,-1,0,-5,3,16,1.6,16,31,3.1,.515,.510,3.6,-0.3,36,5/H3D,,vientma01
70,Víctor Robles,27,2TM,2LG,295,14,4,0,4,-1,21,2.1,10,31,3.1,.523,.511,2.7,0.3,27,897/HD,,roblevi01
70,Víctor Robles,27,WSN,NL,33,-2,0,0,2,0,0,0.0,1,1,0.1,.498,.500,-0.1,0.2,-1,/89H,,roblevi01
70,Víctor Robles,27,SEA,AL,262,16,4,0,2,-1,21,2.2,9,30,3.0,.528,.513,2.8,0.1,28,897/HD,,roblevi01
71,Lawrence Butler*,23,OAK,AL,451,15,3,0,-1,-3,14,1.5,15,29,3.0,.512,.509,3.1,-0.5,30,*9H/8,,butlela01
72,Willson Contreras,32,STL,NL,358,16,0,-1,2,1,18,1.9,12,30,3.0,.522,.512,2.8,0.3,28,2D/H,,contrwi01
73,Jose Iglesias,34,NYM,NL,291,12,0,2,4,3,20,2.1,10,30,3.0,.525,.513,2.6,0.7,26,45/H6,,iglesjo01
74,Nathaniel Lowe*,28,TEX,AL,565,17,-1,0,1,-7,11,1.2,19,30,3.0,.508,.507,2.9,-0.6,29,*3/HD,,lowena01
75,Brandon Marsh*,26,PHI,NL,476,4,3,1,7,-2,14,1.4,16,30,3.0,.511,.509,2.3,0.5,23,*78H/9,,marshbr02
76,Max Muncy*,33,LAD,NL,293,11,1,1,5,2,19,2.0,10,30,3.0,.528,.512,2.4,0.7,24,5/H,,muncyma01
77,Ceddanne Rafaela,23,BOS,AL,571,-7,0,0,10,7,11,1.2,20,30,3.0,.508,.507,2.0,1.9,20,864/5H9,,rafaece01
78,Eugenio Suárez,32,ARI,NL,640,11,0,-1,-4,4,9,1.0,22,31,3.0,.506,.506,3.5,0.0,35,*5/D,,suareeu01
79,Shea Langeliers,26,OAK,AL,534,7,-1,-1,-3,9,10,1.1,18,28,2.9,.508,.507,3.2,0.6,31,*2/HD,,langesh01
80,Tyler O'Neill,29,BOS,AL,473,18,1,-2,1,-6,12,1.3,16,28,2.9,.511,.508,2.7,-0.5,27,79D/H,,oneilty01
81,J.T. Realmuto,33,PHI,NL,413,4,-2,1,5,7,15,1.5,14,29,2.9,.515,.509,2.4,1.3,24,2,,realmjt01
82,Austin Riley,27,ATL,NL,469,9,0,1,0,3,13,1.4,16,29,2.9,.513,.508,2.9,0.3,29,*5,,rileyau01
83,Jazz Chisholm Jr.*,26,2TM,2LG,621,7,3,1,-6,4,9,0.9,21,30,2.9,.506,.502,3.6,-0.2,36,85/D4H,,chishja01
83,Jazz Chisholm Jr.*,26,MIA,NL,430,0,1,0,-4,3,0,0.0,15,15,1.4,.500,.500,1.8,-0.1,19,8/D4H,,chishja01
83,Jazz Chisholm Jr.*,26,NYY,AL,191,7,2,1,-2,1,9,0.9,7,15,1.5,.519,.505,1.7,-0.1,17,5/8,,chishja01
84,Alec Bohm,27,PHI,NL,606,10,-1,-2,-2,3,8,0.8,21,28,2.8,.506,.505,3.0,0.1,30,*53/DH,AS,bohmal01
85,Michael Busch*,26,CHC,NL,567,12,-1,1,5,-7,10,1.0,19,29,2.8,.507,.506,2.3,-0.2,24,*3H/4D5,,buschmi02
86,Colton Cowser*,24,BAL,AL,561,10,-1,1,3,-3,9,1.0,19,28,2.8,.506,.506,2.5,-0.1,25,*789H/D,ROY-2,cowseco01
87,Brendan Donovan*,27,STL,NL,652,10,-3,1,0,-2,6,0.7,22,28,2.8,.504,.504,2.8,-0.2,28,74/5DH9,,donovbr01
88,David Hamilton*,26,BOS,AL,317,-1,6,2,4,5,16,1.7,11,27,2.8,.517,.510,2.3,0.9,23,64H,,hamilda03
89,Otto Lopez,25,MIA,NL,434,-2,4,0,8,4,13,1.4,15,28,2.8,.512,.509,2.0,1.3,20,4/6H578,,lopezot01
90,Joey Ortiz,25,MIL,NL,511,0,-1,0,8,4,11,1.2,17,28,2.8,.508,.507,2.0,1.3,20,*56/H4,,ortizjo06
91,Joc Pederson*,32,ARI,NL,449,25,-2,0,0,-10,13,1.4,15,28,2.8,.510,.508,2.8,-1.1,28,*DH,,pederjo01
92,Salvador Perez,34,KCR,AL,652,14,-4,-2,-5,2,6,0.6,22,28,2.8,.504,.504,3.3,-0.3,33,23D/H,ASSS,perezsa02
93,Trea Turner,31,PHI,NL,539,15,3,0,-14,7,12,1.2,17,29,2.8,.510,.507,4.3,-0.7,43,*6/D,AS,turnetr01
94,Matt Vierling,27,DET,AL,567,3,2,1,2,1,9,1.0,19,28,2.8,.507,.506,2.6,0.3,26,859H7/D3,,vierlma01
95,Nolan Arenado,33,STL,NL,635,1,-2,-2,6,4,6,0.6,22,28,2.7,.504,.504,2.1,1.0,22,*5/DH,,arenano01
96,J.P. Crawford*,29,SEA,AL,451,-6,2,0,9,6,11,1.2,15,26,2.7,.511,.507,1.7,1.6,17,6/HD,,crawfjp01
97,Tyler Fitzgerald,26,SFG,NL,341,15,2,0,-5,4,16,1.7,12,28,2.7,.517,.510,3.3,-0.1,33,6H/8471D3,,fitzgty01
98,Logan O'Hoppe,24,LAA,AL,522,1,-2,0,1,9,9,0.9,18,27,2.7,.507,.506,2.5,1.0,26,*2/HD,,ohopplo01
99,Anthony Santander#,29,BAL,AL,665,21,-2,-1,-7,-6,5,0.5,22,27,2.7,.503,.503,3.4,-1.4,34,*9D/3H,ASMVP-14SS,santaan02
100,Fernando Tatis Jr.,25,SDP,NL,438,14,1,0,0,-3,12,1.3,15,27,2.7,.512,.508,2.7,-0.4,27,9/DH,AS,tatisfe02
101,Jacob Young,24,WSN,NL,521,-8,2,0,12,4,10,1.0,18,27,2.7,.507,.506,1.4,1.7,15,*8/HD,,youngja03
102,Isaac Paredes,25,2TM,2LG,641,11,-2,-2,-2,2,6,0.6,22,28,2.7,.504,.503,2.9,0.0,30,*53D/H,AS,paredis01
102,Isaac Paredes,25,TBR,AL,429,14,-2,-3,-1,0,9,0.9,15,23,2.4,.509,.506,2.5,-0.1,24,53D/H,,paredis01
102,Isaac Paredes,25,CHC,NL,212,-4,0,0,-1,1,-3,-0.3,7,4,0.4,.494,.498,0.5,0.0,5,5/H,,paredis01
103,Oneil Cruz*,25,PIT,NL,599,8,2,2,-12,7,6,0.6,20,27,2.6,.504,.504,3.8,-0.5,38,*68H/D,,cruzon01
104,Ha-Seong Kim,28,SDP,NL,470,-2,2,1,2,7,10,1.1,16,26,2.6,.509,.506,2.4,0.9,24,*6/H,,kimha01
105,Gabriel Moreno,24,ARI,NL,351,2,-1,-1,7,6,14,1.4,12,26,2.6,.515,.509,1.8,1.4,18,2H/5,,morenga01
106,Austin Wells*,24,NYY,AL,414,2,-2,0,4,7,11,1.2,14,25,2.6,.510,.507,2.1,1.2,21,*2H/D,ROY-3,wellsau01
107,Pete Alonso,29,NYM,NL,695,16,-3,-1,-3,-8,3,0.3,23,26,2.5,.502,.502,2.8,-1.1,29,*3/DH,AS,alonspe01
108,Carlos Santana#,38,MIN,AL,594,5,-1,-1,8,-7,5,0.5,20,25,2.5,.503,.503,1.6,0.1,17,*3/HD,GG,santaca01
109,Christian Walker,33,ARI,NL,552,10,-2,-1,7,-6,7,0.7,19,26,2.5,.506,.504,1.8,0.1,19,*3/H,GG,walkech02
110,Brandon Lowe*,29,TBR,AL,425,10,0,0,1,-2,9,1.0,15,23,2.4,.509,.506,2.2,-0.1,22,4D3H,,lowebr01
111,Ryan Mountcastle,27,BAL,AL,507,6,-1,-1,8,-6,6,0.7,17,23,2.4,.505,.504,1.5,0.2,15,*3H/D,,mountry01
112,Cedric Mullins*,29,BAL,AL,499,2,3,3,-5,4,7,0.7,17,24,2.4,.505,.504,2.9,-0.1,29,*8H/D,,mullice01
113,Tyler Stephenson,27,CIN,NL,515,8,-2,0,-7,8,7,0.7,18,25,2.4,.505,.505,3.1,0.1,32,*2HD,,stephty01
114,Pete Crow-Armstrong*,22,CHC,NL,410,-8,3,0,11,3,9,1.0,14,23,2.3,.508,.506,1.2,1.5,12,*8H,,crowape01
115,Ryan McMahon*,29,COL,NL,645,-9,-3,0,10,4,2,0.2,22,24,2.3,.501,.501,1.3,1.5,14,*5/DH,AS,mcmahry01
116,Heliot Ramos,24,SFG,NL,518,17,-1,0,-9,-1,6,0.6,17,23,2.3,.505,.504,3.2,-1.0,32,*87/9DH,AS,ramoshe02
117,Bryson Stott*,26,PHI,NL,571,-10,2,2,6,5,4,0.5,20,24,2.3,.503,.503,1.7,1.2,18,*46H/D,,stottbr01
118,Taylor Ward,30,LAA,AL,663,8,-1,-1,0,-6,0,0.1,23,23,2.3,.500,.500,2.3,-0.6,23,*7D,,wardta01
119,Jordan Westburg,25,BAL,AL,447,12,1,1,-10,4,7,0.8,15,22,2.3,.507,.505,3.3,-0.7,32,54/6D,AS,westbjo01
120,Christian Yelich*,32,MIL,NL,315,18,2,1,-5,-4,12,1.3,11,23,2.3,.517,.508,2.8,-0.9,28,7D,AS,yelicch01
121,Joey Bart,27,PIT,NL,282,7,0,0,1,4,12,1.3,10,22,2.2,.516,.508,2.1,0.5,21,2D/H,,bartjo01
122,Cody Bellinger*,28,CHC,NL,569,5,1,2,0,-3,4,0.5,19,23,2.2,.503,.503,2.2,-0.4,23,98D3/7,,bellico01
123,Sal Frelick*,24,MIL,NL,524,-9,1,2,15,-4,5,0.5,18,22,2.2,.503,.503,0.6,1.2,7,*987H/5D,GG,frelisa01
124,Luis García Jr.*,24,WSN,NL,528,8,-1,-1,-5,4,4,0.4,18,22,2.2,.503,.503,2.7,-0.2,27,*4H/D,,garcilu04
125,Randal Grichuk,32,ARI,NL,279,13,1,1,3,-6,12,1.3,10,22,2.2,.512,.508,1.9,-0.3,19,9DH7,,grichra01
126,Kevin Newman,30,ARI,NL,311,-3,1,0,10,4,11,1.2,11,22,2.2,.511,.507,1.2,1.5,12,643/H57D,,newmake01
127,Brandon Nimmo*,31,NYM,NL,663,8,0,1,-3,-4,1,0.1,22,23,2.2,.501,.501,2.5,-0.8,26,*78/DH,,nimmobr01
128,Edmundo Sosa,28,PHI,NL,274,1,1,0,6,4,13,1.3,9,22,2.2,.515,.508,1.6,1.0,16,654H,,sosaed01
129,Matt Wallner*,26,MIN,AL,261,14,1,0,0,-3,12,1.3,9,21,2.2,.517,.508,2.2,-0.3,21,97DH/1,,wallnma01
130,JJ Bleday*,26,OAK,AL,642,15,-2,1,-19,5,0,0.0,22,22,2.1,.500,.500,4.1,-1.5,41,*8H/D,,bledajj01
131,Kerry Carpenter*,26,DET,AL,296,18,-3,0,1,-5,11,1.1,10,21,2.1,.513,.507,2.0,-0.4,20,9DH/7,,carpeke01
132,Xavier Edwards#,24,MIA,NL,303,11,2,2,-8,4,12,1.2,10,22,2.1,.517,.507,3.0,-0.4,30,6/H4,,edwarxa01
133,Ryan Jeffers,27,MIN,AL,465,1,-1,0,1,3,5,0.5,16,21,2.1,.504,.503,2.0,0.5,20,2DH,,jeffery01
134,Parker Meadows*,24,DET,AL,298,2,1,1,5,2,11,1.1,10,21,2.1,.514,.507,1.6,0.8,16,8/H,,meadopa01
135,Garrett Mitchell*,25,MIL,NL,224,6,0,1,6,0,13,1.3,8,21,2.1,.519,.508,1.4,0.6,14,89H/D,,mitchga01
136,Dylan Moore,31,SEA,AL,441,4,3,-1,-4,3,6,0.6,15,21,2.1,.505,.504,2.5,-0.1,25,6547H3/8,GG,mooredy01
137,Josh Rojas*,30,SEA,AL,476,-5,-2,1,8,3,5,0.6,16,21,2.1,.504,.503,1.3,1.2,13,*5H4/713D,,rojasjo01
138,Michael Toglia#,25,COL,NL,458,-1,2,-1,11,-6,6,0.6,16,21,2.1,.505,.504,1.0,0.5,10,39/7,,toglimi01
139,Mike Yastrzemski*,33,SFG,NL,474,4,1,1,4,-4,5,0.6,16,21,2.1,.504,.503,1.7,0.0,17,*9H/81,,yastrmi01
140,Miguel Amaya,25,CHC,NL,363,-6,0,0,7,7,7,0.8,12,20,2.0,.507,.505,1.2,1.5,13,*2/H,,amayami01
141,Kyle Isbel*,27,KCR,AL,426,-7,2,2,5,3,5,0.6,15,20,2.0,.504,.504,1.5,0.9,15,*8H,,isbelky01
142,Gavin Lux*,26,LAD,NL,487,0,1,1,-2,4,4,0.4,17,21,2.0,.503,.503,2.2,0.2,23,*4H/6,,luxga01
143,Tyrone Taylor,30,NYM,NL,345,0,1,0,10,-3,8,0.9,12,20,2.0,.507,.505,0.9,0.7,10,*98H7/D,,tayloty01
144,LaMonte Wade Jr.*,30,SFG,NL,401,9,2,0,1,-5,7,0.7,14,21,2.0,.506,.504,1.9,-0.5,20,3H9/D7,,wadela01
145,Jake Cronenworth*,30,SDP,NL,656,1,0,0,-1,-2,-2,-0.2,22,20,1.9,.499,.499,2.0,-0.3,21,34/DH,,croneja01
146,Lourdes Gurriel Jr.,30,ARI,NL,553,3,1,-2,3,-4,1,0.1,19,20,1.9,.501,.501,1.6,-0.1,17,*7H/D3,,gurrilo01
147,Alejandro Kirk,25,TOR,AL,386,-4,-3,0,6,6,6,0.6,13,19,1.9,.506,.504,1.3,1.3,13,2/HD,,kirkal01
148,Blake Perkins#,27,MIL,NL,434,-9,1,2,8,3,5,0.5,15,20,1.9,.504,.503,1.1,1.2,12,*8H/D,,perkibl01
149,Brayan Rocchio#,23,CLE,AL,442,-11,-2,-1,11,7,4,0.5,15,19,1.9,.503,.503,0.8,1.9,8,*6/H,,rocchbr01
150,Gleyber Torres,27,NYY,AL,665,3,-2,2,-11,5,-3,-0.3,22,19,1.9,.498,.498,3.1,-0.6,30,*4/H,,torregl01
151,Jesse Winker*,30,2TM,NL,508,12,-2,-1,1,-7,3,0.3,17,20,1.9,.502,.502,1.8,-0.6,19,7DH9,,winkeje01
151,Jesse Winker*,30,WSN,NL,379,13,-2,-1,1,-5,6,0.6,13,19,1.8,.506,.504,1.7,-0.4,18,7D/H9,,winkeje01
151,Jesse Winker*,30,NYM,NL,129,-1,0,0,0,-2,-3,-0.3,4,2,0.1,.493,.498,0.1,-0.2,2,97HD,,winkeje01
152,Iván Herrera,24,STL,NL,259,9,2,1,-6,3,9,0.9,9,18,1.8,.513,.506,2.4,-0.3,24,2D/H,,herreiv01
153,Ryan O'Hearn*,30,BAL,AL,494,12,0,2,-4,-8,1,0.1,17,18,1.8,.501,.501,2.2,-1.3,22,3DH9/7,,ohearry01
154,Richie Palacios*,27,TBR,AL,316,-1,3,1,5,-1,7,0.8,11,18,1.8,.508,.505,1.3,0.4,13,497H/D56,,palacri01
155,Luis Rengifo#,27,LAA,AL,304,5,4,1,-4,2,8,0.8,10,18,1.8,.510,.505,2.3,-0.2,22,54/H69D,,rengilu01
156,Jose Siri,28,TBR,AL,448,-14,1,0,12,3,3,0.4,15,19,1.8,.503,.502,0.6,1.6,7,*8/H3D,,sirijo01
157,Connor Wong,28,BOS,AL,487,6,-1,0,-11,6,1,0.2,17,18,1.8,.501,.501,2.9,-0.5,29,23DH/47,,wongco01
158,Patrick Bailey#,25,SFG,NL,448,-9,0,-1,5,8,3,0.3,15,18,1.7,.502,.502,1.2,1.3,13,*2H/D,GG,bailepa01
159,Jonathan India,27,CIN,NL,637,6,-1,-2,-10,3,-4,-0.4,22,18,1.7,.497,.497,2.7,-0.7,28,*4D/H,,indiajo01
160,Michael Massey*,26,KCR,AL,356,4,0,-1,0,1,5,0.5,12,17,1.7,.505,.503,1.7,0.2,17,4HD,,massemi02
161,José Miranda,26,MIN,AL,429,6,-2,-1,1,-1,3,0.3,15,17,1.7,.502,.502,1.6,0.0,16,5DH3/6,,miranjo01
162,Jacob Stallings,34,COL,NL,281,5,-1,-1,-1,5,7,0.8,10,17,1.7,.509,.505,1.8,0.4,18,2/HD,,stallja01
163,Randy Arozarena,29,2TM,AL,648,9,-3,2,-7,-5,-4,-0.4,22,18,1.7,.497,.498,2.4,-1.3,25,*7/8DH,,arozara01
163,Randy Arozarena,29,TBR,AL,409,2,-2,2,-5,-3,-6,-0.6,14,8,0.7,.494,.496,1.3,-0.9,13,7/8HD,,arozara01
163,Randy Arozarena,29,SEA,AL,239,7,-1,0,-2,-2,2,0.2,8,10,1.0,.504,.501,1.2,-0.4,12,7/8D,,arozara01
